1 22782U 93055A   93342.51575674 0.00000035  00000+0  26723-4 0  2202
2 22782  82.5476 357.5370 0023727  42.6333 317.6642 13.82993617 13739
1 22782U 93055A   93343.52862179 0.00000023  00000+0  16293-4 0  2177
2 22782  82.5476 356.7339 0023628  39.9304 320.3602 13.82993601 13877
1 22782U 93055A   93344.54148609 0.00000012  00000+0  59477-5 0  2186
2 22782  82.5481 355.9311 0023537  37.3094 322.9693 13.82993499 14011
1 22782U 93055A   93348.52059674  .00000055  00000-0  45108-4 0  2173
2 22782  82.5480 352.7765 0023371  26.7908 333.4566 13.82994283 14568
1 22782U 93055A   93348.52059674 0.00000055  00000+0  45107-4 0  2193
2 22782  82.5480 352.7764 0023371  26.7907 333.4566 13.82994284 14567
1 22782U 93055A   93349.53345826 0.00000063  00000+0  51783-4 0  2187
2 22782  82.5480 351.9737 0023337  24.0030 336.2224 13.82994477 14700
1 22782U 93055A   93350.98040613 0.00000059  00000+0  48314-4 0  2208
2 22782  82.5479 350.8269 0023336  19.9236 340.2828 13.82994581 14909
1 22782U 93055A   93351.48683791 0.00000060  00000+0  49169-4 0  2250
2 22782  82.5475 350.4249 0023323  18.6257 341.5757 13.82994642 14974
1 22782U 93055A   93352.93378515  .00000078  00000-0  58163-4 0  2182
2 22782  82.5471 349.2777 0023245  14.7650 345.4192 13.82994923 15170
1 22782U 93055A   93353.00613232 0.00000068  00000+0  56866-4 0  2231
2 22782  82.5470 349.2200 0023225  14.5721 345.6103 13.82994920 15187
1 22782U 93055A   93353.94664817 0.00000068  00000+0  56921-4 0  2219
2 22782  82.5475 348.4753 0023209  11.8803 348.2904 13.82995041 15317
1 22782U 93055A   93353.94664817  .00000077  00000-0  56922-4 0  2402
2 22782  82.5475 348.4754 0023209  11.8803 348.2904 13.82995041 15318
1 22782U 93055A   93355.97237461 0.00000044  00000+0  34775-4 0  2403
2 22782  82.5476 346.8699 0023120   6.3012 353.8432 13.82994986 15597
1 22782U 93055A   93357.05758512 0.00000035  00000+0  26794-4 0  2546
2 22782  82.5475 346.0095 0023095   3.2260 356.9041 13.82994974 15744
1 22782U 93055A   93357.92575357 0.00000031  00000+0  22960-4 0  2576
2 22782  82.5476 345.3216 0023068   0.8096 359.3095 13.82994982 15860
1 22782U 93055A   93358.50453226  .00000045  00000-0  28080-4 0  2419
2 22782  82.5475 344.8630 0023078 359.1921   0.9191 13.82995070 15945
1 22782U 93055A   93358.93861630 0.00000041  00000+0  32379-4 0  2453
2 22782  82.5476 344.5189 0023038 357.9214   2.1847 13.82995154 16002
1 22782U 93055A   93359.95147922 0.00000040  00000+0  30796-4 0  2525
2 22782  82.5475 343.7159 0022976 355.1813   4.9120 13.82995205 16140
1 22782U 93055A   93360.96434217 0.00000028  00000+0  20766-4 0  2582
2 22782  82.5474 342.9130 0022926 352.3940   7.6857 13.82995155 16280
1 22782U 93055A   93361.97720503 0.00000037  00000+0  28454-4 0  2650
2 22782  82.5474 342.1101 0022869 349.6607  10.4076 13.82995306 16424
1 22782U 93055A   93362.91772042  .00000054  00000-0  36147-4 0  2423
2 22782  82.5473 341.3647 0022838 347.0390  13.0185 13.82995463 16554
1 22782U 93055A   93362.99006766 0.00000042  00000+0  33297-4 0  2445
2 22782  82.5473 341.3073 0022826 346.8654  13.1903 13.82995435 16563
1 22782U 93055A   93364.29231928 0.00000051  00000+0  41561-4 0  2601
2 22782  82.5469 340.2743 0022579 343.2209  16.8197 13.82995683 16742
1 22782U 93055A   93364.94344543 0.00000050  00000+0  40149-4 0  2667
2 22782  82.5468 339.7578 0022578 341.4027  18.6305 13.82995721 16831
1 22782U 93055A   93365.95630823 0.00000045  00000+0  35865-4 0  2751
2 22782  82.5468 338.9551 0022556 338.5973  21.4235 13.82995748 16974
1 22782U 93055A   94001.89682420 0.00000024  00000+0  16445-4 0  2875
2 22782  82.5480 338.2113 0022337 336.0689  23.9429 13.82995579 17109
1 22782U 93055A   94001.96917156  .00000034  00000-0  17490-4 0  2435
2 22782  82.5480 338.1541 0022340 335.8493  24.1619 13.82995595 17110
1 22782U 93055A   94002.90968713 0.00000023  00000+0  15507-4 0  2473
2 22782  82.5479 337.4084 0022278 333.1923  26.8084 13.82995606 17243
1 22782U 93055A   94003.92254962 0.00000045  00000+0  27670-4 0  2546
2 22782  82.5466 336.6044 0022305 330.4646  29.5251 13.82995815 17382
1 22782U 93055A   94004.93541256 0.00000042  00000+0  25903-4 0  2626
2 22782  82.5470 335.8016 0022275 327.5826  32.3962 13.82995855 17521
1 22782U 93055A   94005.87592838 0.00000028  00000+0  19835-4 0  2678
2 22782  82.5471 335.0564 0022237 324.9384  35.0311 13.82995812 17655
1 22782U 93055A   94006.96113828 0.00000046  00000+0  28701-4 0  2590
2 22782  82.5471 334.1963 0022197 321.8588  38.0999 13.82996003 17800
1 22782U 93055A   94007.82930657 0.00000078  00000+0  58138-4 0  2630
2 22782  82.5486 333.5086 0021990 319.2682  40.6894 13.82996555 17929
1 22782U 93055A   94008.91451514 0.00000069  00000+0  49689-4 0  2722
2 22782  82.5487 332.6481 0021931 316.0755  43.8637 13.82996554 18076
1 22782U 93055A   94009.92737891 0.00000050  00000+0  40455-4 0  2776
2 22782  82.5488 331.8456 0021932 313.2413  46.6915 13.82996504 18212
1 22782U 93055A   94010.28911561  .00000060  00000-0  41889-4 0  2544
2 22782  82.5489 331.5590 0021925 312.2133  47.7166 13.82996559 18264
1 22782U 93055A   94010.94024176 0.00000051  00000+0  40845-4 0  2577
2 22782  82.5488 331.0428 0021892 310.3316  49.5931 13.82996601 18351
1 22782U 93055A   94011.88075712 0.00000055  00000+0  45550-4 0  2632
2 22782  82.5487 330.2970 0021852 307.6196  52.2979 13.82996754 18480
1 22782U 93055A   94012.89362011 0.00000054  00000+0  44353-4 0  2713
2 22782  82.5486 329.4941 0021857 304.7523  55.1578 13.82996836 18628
1 22782U 93055A   94013.83413560 0.00000053  00000+0  43378-4 0  2775
2 22782  82.5492 328.7498 0021752 302.0704  57.8343 13.82996927 18754
1 22782U 93055A   94014.34056707  .00000063  00000-0  44564-4 0  2554
2 22782  82.5492 328.3487 0021743 300.6475  59.2541 13.82996989 18829
1 22782U 93055A   94014.91934602 0.00000049  00000+0  39253-4 0  2581
2 22782  82.5492 327.8898 0021693 298.9290  60.9692 13.82996978 18900
1 22782U 93055A   94015.85986191 0.00000041  00000+0  31938-4 0  2657
2 22782  82.5491 327.1441 0021660 296.2049  63.6883 13.82996981 19034
1 22782U 93055A   94016.87272495 0.00000006  00000+0  18188-7 0  2718
2 22782  82.5523 326.3432 0021271 292.7034  67.1836 13.82996569 19178
1 22782U 93055A   94018.89845223  .00000039  00000-0  21950-4 0  2565
2 22782  82.5520 324.7383 0021299 286.9901  72.8924 13.82996980 19459
1 22782U 93055A   94018.89845223 0.00000030  00000+0  21949-4 0  2798
2 22782  82.5520 324.7382 0021299 286.9901  72.8924 13.82996980 19458
1 22782U 93055A   94019.91131597 0.00000027  00000+0  19274-4 0  2631
2 22782  82.5519 323.9359 0021287 284.1270  75.7523 13.82996991 19591
1 22782U 93055A   94020.85183228 0.00000028  00000+0  20431-4 0  2698
2 22782  82.5519 323.1910 0021279 281.4687  78.4083 13.82997048 19729
1 22782U 93055A   94021.79234867 0.00000028  00000+0  20564-4 0  2741
2 22782  82.5519 322.4460 0021292 278.8437  81.0312 13.82997092 19857
1 22782U 93055A   94022.87755940 0.00000042  00000+0  33323-4 0  2834
2 22782  82.5520 321.5863 0021246 275.7462  84.1275 13.82997329 20003
1 22782U 93055A   94023.09460165  .00000054  00000-0  36379-4 0  2570
2 22782  82.5520 321.4145 0021234 275.1244  84.7497 13.82997383 20039
1 22782U 93055A   94023.89042239 0.00000061  00000+0  50105-4 0  2633
2 22782  82.5516 320.7834 0021303 272.8141  87.0579 13.82997638 20140
1 22782U 93055A   94026.20553910 0.00000052  00000+0  42685-4 0  2807
